Compound,CAS,inchikey,pretty_name
Nonanoic acid,112-05-0,FBUKVWPVBMHYJY-UHFFFAOYSA-N,n-Nonanoic acid
o-Hydroxybiphenyl,90-43-7,NA,NA
Ocimene<(E)-beta->,3379-61-1,NA,NA
Ocimene<(Z)-beta->,3338-55-4,IHPKGUQCSIINRJ-NTMALXAHSA-N,(Z)-BETA-OCIMENE
Ocimene<allo->,3016-19-1,GQVMHMFBVWSSPF-SOYUKNQTSA-N,ALLO-OCIMENE
Octadecanol<N->,112-92-5,GLDOVTGHNKAZLK-UHFFFAOYSA-N,1-OCTADECANOL
Octanal,124-13-0,NUJGJRNETVAIRJ-UHFFFAOYSA-N,n-Octanal
Octanoic acid,124-07-2,WWZKQHOCKIZLMA-UHFFFAOYSA-N,n-octanoic acid
Octen-3-one<1->,4312-99-6,KLTVSWGXIAYTHO-UHFFFAOYSA-N,1-OCTEN-3-ONE
p-Xylene,106-42-3,URLKBWYHVLBVBO-UHFFFAOYSA-N,P-XYLENE
"Pentane, 1-nitro-",628-05-7,BVALZCVRLDMXOQ-UHFFFAOYSA-N,1-Nitropentane
Pentanoic acid,109-52-4,NQPDZGIKBAWPEJ-UHFFFAOYSA-N,n-Pentanoic acid
Pentyl furan<2->,3777-69-3,YVBAUDVGOFCUSG-UHFFFAOYSA-N,2-PENTYLFURAN
Phenol,108-95-2,ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol
"Phenol, 2,4-bis(1,1-dimethylethyl)-",96-76-4,ICKWICRCANNIBI-UHFFFAOYSA-N,"2,4-Di-tert-butylphenol"
"Phenol, p-tert-butyl-",98-54-4,QHPQWRBYOIRBIT-UHFFFAOYSA-N,p-tert-Butylphenol
Phenylethyl Alcohol,60-12-8,WRMNZCZEMHIOCP-UHFFFAOYSA-N,Phenethyl alcohol
"Propanoic acid, 2-methyl-",79-31-2,KQNPFQTWMSNSAP-UHFFFAOYSA-N,ISOBUTYRIC ACID
"Propanoic acid, 2-methyl-, 3-hydroxy-2,4,4-trimethylpentyl ester",74367-34-3,WXFRFCWHHBELIH-UHFFFAOYSA-N,"(3-hydroxy-2,4,4-trimethylpentyl) 2-methylpropanoate"
Terpinene<gamma->,99-85-4,YKFLAYDHMOASIY-UHFFFAOYSA-N,GAMMA-TERPINENE
Tetradecanoic acid,544-63-8,NA,NA
trans-?-Bergamotene,13474-59-4,NA,NA
trans-Linalool oxide (furanoid),5989-33-3,BRHDDEIRQPDPMG-UHFFFAOYSA-N,Linalyl oxide
Vanillin,121-33-5,MWOOGOJBHIARFG-UHFFFAOYSA-N,vanillin
.tau.-Cadinol,5937-11-1,HWXJDLBJPSCNJL-UHFFFAOYSA-N,((Trimethylsilyl)methyl)urea
1 (DCSE),NA,NA,NA
1-(4-tert-Butylphenyl)propan-2-one,81561-77-5,HSNJERRVXUNQLS-UHFFFAOYSA-N,1-(4-tert-Butylphenyl)propan-2-one
"1-Octanol, 3,7-dimethyl-",106-21-8,NA,NA
"1,1'-Biphenyl, 3,4-diethyl-",61141-66-0,NA,NA
"1,2,3-Trimethylbenzene",526-73-8,FYGHSUNMUKGBRK-UHFFFAOYSA-N,"1,2,3-TRIMETHYLBENZENE"
"1,2,4-Trimethylbenzene",95-63-6,GWHJZXXIDMPWGX-UHFFFAOYSA-N,Pseudocumene
"1,4-DIacetylbenzene",1009-61-6,SKBBQSLSGRSQAJ-UHFFFAOYSA-N,"1,4-Diacetylbenzene"
"1,4-Dimethylnaphthalene",571-58-4,APQSQLNWAIULLK-UHFFFAOYSA-N,"1,4-dimethyl-naphthalene"
"10,18-Bisnorabieta-8,11,13-triene",32624-67-2,NA,NA
101,NA,NA,NA
102,NA,NA,NA
103,NA,NA,NA
107,NA,NA,NA
11 (DCSE),NA,NA,NA
115,NA,NA,NA
117,NA,NA,NA
118,NA,NA,NA
120,NA,NA,NA
127,NA,NA,NA
145,NA,NA,NA
148,NA,NA,NA
149,NA,NA,NA
158,NA,NA,NA
164,NA,NA,NA
17,NA,NA,NA
17 (DCSE),NA,NA,NA
173,NA,NA,NA
176,NA,NA,NA
179,NA,NA,NA
18 (DCSE),NA,NA,NA
184,NA,NA,NA
19 (DCSE),NA,NA,NA
191,NA,NA,NA
194,NA,NA,NA
199,NA,NA,NA
2 (DCSE),NA,NA,NA
2-Acetylfuran,1192-62-7,IEMMBWWQXVXBEU-UHFFFAOYSA-N,2-Acetylfuran
"2-Butenal, 3-methyl-",107-86-8,SEPQTYODOKLVSB-UHFFFAOYSA-N,3-Methyl-2-butenal
2-Cyclohexen-1-ol,822-67-3,PQANGXXSEABURG-UHFFFAOYSA-N,2-CYCLOHEXEN-1-OL
2-Cyclopenten-1-one,930-30-3,BZKFMUIJRXWWQK-UHFFFAOYSA-N,2-CYCLOPENTEN-1-ONE
"2-Heptanone, 4-methyl-",6137-06-0,BIFPSSTVLFHHEI-UHFFFAOYSA-N,4-Methyl-2-heptanone
"2-Heptanone, 4,6-dimethyl-",19549-80-5,YXFDTUKUWNQPFV-UHFFFAOYSA-N,"4,6-Dimethylheptan-2-one"
"2-Heptanone, 6-methyl-",928-68-7,DPLGXGDPPMLJHN-UHFFFAOYSA-N,6-Methylheptan-2-one
2-Hexanone,591-78-6,QQZOPKMRPOGIEB-UHFFFAOYSA-N,2-HEXANONE
2-Methyl-1-undecanol,10522-26-6,FGZXHVORLPLICA-UHFFFAOYSA-N,2-Methyl-1-undecanol
2-Octanone,111-13-7,ZPVFWPFBNIEHGJ-UHFFFAOYSA-N,2-OCTANONE
"2-Octen-1-ol, (E)-",18409-17-1,AYQPVPFZWIQERS-VOTSOKGWSA-N,trans-2-Octen-1-Ol
"2-Propenoic acid, butyl ester",141-32-2,CQEYYJKEWSMYFG-UHFFFAOYSA-N,BUTYL ACRYLATE
"2-Pyrrolidinone, 1-methyl-",872-50-4,SECXISVLQFMRJM-UHFFFAOYSA-N,1-METHYL-2-PYRROLIDINONE
"2,4-Dimethyl-1-heptene",19549-87-2,ZGESSLXCFYCMLJ-UHFFFAOYSA-N,CYCLOPENTYL 4-METHOXYPHENYL KETONE
"2,5-Pyrrolidinedione, 1-ethyl-",2314-78-5,NA,NA
"2(5H)-Furanone, 5-ethyl-",2407-43-4,JBFHTYHTHYHCDJ-UHFFFAOYSA-N,gamma-Hexalactone
20,NA,NA,NA
201,NA,NA,NA
26,NA,NA,NA
266,NA,NA,NA
29.22 Tridecanal,10486-19-8,BGEHHAVMRVXCGR-UHFFFAOYSA-N,n-tridecanal
3 (DCSE),NA,NA,NA
3-Furaldehyde,498-60-2,AZVSIHIBYRHSLB-UHFFFAOYSA-N,3-Furaldehyde
3-Heptanone,106-35-4,NGAZZOYFWWSOGK-UHFFFAOYSA-N,3-Heptanone
3-Methyl-2(5H)-furanone,22122-36-7,VGHBEMPMIVEGJP-UHFFFAOYSA-N,3-Methyl-2(5H)-furanone
3-Methylacetophenone,585-74-0,BAYUSCHCCGXLAY-UHFFFAOYSA-N,3-Methoxyacetophenone
"3-Pentanone, 2,4-dimethyl-",565-80-0,HXVNBWAKAOHACI-UHFFFAOYSA-N,Diisopropyl ketone
"3,5-di-tert-Butyl-4-hydroxybenzaldehyde",1620-98-0,DOZRDZLFLOODMB-UHFFFAOYSA-N,"3,5-Di-tert-butyl-4-hydroxybenzaldehyde"
36,NA,NA,NA
37,NA,NA,NA
4-Methylbiphenyl,644-08-6,ZZLCFHIKESPLTH-UHFFFAOYSA-N,p-Methylbiphenyl
40,NA,NA,NA
44,NA,NA,NA
5 (DCSE),NA,NA,NA
5-Hydroxymethylfurfural,67-47-0,NOEGNKMFWQHSLB-UHFFFAOYSA-N,5-HYDROXYMETHYLFURFURAL
"5,9-Undecadien-2-one, 6,10-dimethyl-, (E)-",3796-70-1,HNZUNIKWNYHEJJ-FMIVXFBMSA-N,Geranylacetone
57,NA,NA,NA
58,NA,NA,NA
60,NA,NA,NA
62,NA,NA,NA
68,NA,NA,NA
69,NA,NA,NA
7 (DCSE),NA,NA,NA
70,NA,NA,NA
74,NA,NA,NA
75,NA,NA,NA
76,NA,NA,NA
79,NA,NA,NA
83,NA,NA,NA
84,NA,NA,NA
86,NA,NA,NA
94,NA,NA,NA
96,NA,NA,NA
Acetylpyrrole<2->,1072-83-9,IGJQUJNPMOYEJY-UHFFFAOYSA-N,2-ACETYLPYRROLE
alpha-cyclocitral,432-24-6,ZVZRJSHOOULAGB-UHFFFAOYSA-N,alpha-Cyclocitral
alpha-Muurolol,19435-97-3,LHYHMMRYTDARSZ-UHFFFAOYSA-N,alpha-Cadinol
alpha-Terpineol,98-55-5,WUOACPNHFRMFPN-UHFFFAOYSA-N,alpha-TERPINEOL
Amorphene<alpha->,20085-19-2,NA,NA
Anthracene,120-12-7,MWPLVEDNUUSJAV-UHFFFAOYSA-N,ANTHRACENE
"Benzaldehyde, 4-ethoxy-",10031-82-0,JRHHJNMASOIRDS-UHFFFAOYSA-N,4-ETHOXYBENZALDEHYDE
"Benzaldehyde, 4-methyl-",104-87-0,FXLOVSHXALFLKQ-UHFFFAOYSA-N,p-Tolualdehyde
"Benzenamine, 3-methyl-",108-44-1,JJYPMNFTHPTTDI-UHFFFAOYSA-N,m-Toluidine
"Benzene, 1-ethyl-4-methyl-",622-96-8,JRLPEMVDPFPYPJ-UHFFFAOYSA-N,P-ETHYLTOLUENE
"Benzene, 1,2,3,5-tetramethyl-",527-53-7,BFIMMTCNYPIMRN-UHFFFAOYSA-N,"1,2,3,5-TETRAMETHYLBENZENE"
"Benzene, 1,3,5-trimethyl-",108-67-8,AUHZEENZYGFFBQ-UHFFFAOYSA-N,MESITYLENE
"Benzene, 2-ethyl-1,4-dimethyl-",1758-88-9,AXIUBBVSOWPLDA-UHFFFAOYSA-N,2-Ethyl-p-xylene
"Benzene, 2-methoxy-4-methyl-1-(1-methylethyl)-",1076-56-8,NA,NA
Benzenecarboxylic acid,65-85-0,WPYMKLBDIGXBTP-UHFFFAOYSA-N,benzoic acid
"Benzenemethanol, ?,?-dimethyl-",617-94-7,BDCFWIDZNLCTMF-UHFFFAOYSA-N,2-Phenyl-2-propanol
"Benzofuran, 2,3-dihydro-",496-16-2,IANQTJSKSUMEQM-UHFFFAOYSA-N,BENZOFURAN
"Benzoic acid, 2-ethylhexyl ester",5444-75-7,UADWUILHKRXHMM-UHFFFAOYSA-N,2-Ethylhexyl benzoate
"Benzoic acid, 4-ethoxy-, ethyl ester",23676-09-7,NA,NA
Benzophenone,119-61-9,RWCCWEUUXYIKHB-UHFFFAOYSA-N,BENZOPHENONE
Benzyl acetate,140-11-4,QUKGYYKBILRGFE-UHFFFAOYSA-N,BENZYL ACETATE
Benzyl Benzoate,120-51-4,SESFRYSPDFLNCH-UHFFFAOYSA-N,BENZYL BENZOATE
Bergamal,106-72-9,YGFGZTXGYTUXBA-UHFFFAOYSA-N,Bergamal
"Bicyclo[3.1.1]heptan-2-one, 6,6-dimethyl-",24903-95-5,XZFDKWMYCUEKSS-UHFFFAOYSA-N,Nopinone
"Bicyclo[3.1.1]heptan-3-one, 2,6,6-trimethyl-, (1-alpha,2-alpha,5-alpha)-",547-60-4,MQPHVIPKLRXGDJ-UHFFFAOYSA-N,Pinocamphone
"Bicyclo[3.1.1]heptan-3-one, 2,6,6-trimethyl-, (1-alpha,2-beta,5-alpha)",15358-88-0,MQPHVIPKLRXGDJ-UHFFFAOYSA-N,Pinocamphone
Biphenyl,92-52-4,ZUOUZKKEUPVFJK-UHFFFAOYSA-N,Biphenyl
Borneol,507-70-0,DTGKSKDOIYIVQL-UHFFFAOYSA-N,Borneol
Bornylene,464-17-5,KUKRLSJNTMLPPK-UHFFFAOYSA-N,Bornylene
Butyl acetate,123-86-4,DKPFZGUDAPQIHT-UHFFFAOYSA-N,N-BUTYL ACETATE
"Butyl aldoxime, 3-methyl-, anti",5775-74-6,JAUPRNSQRRCCRR-GQCTYLIASA-N,3-Methylbutyraldehyde oxime
"Butyl aldoxime, 3-methyl-, syn-",5780-40-5,JAUPRNSQRRCCRR-XQRVVYSFSA-N,z-isovaleraldoxime
Butyl butanoate,109-21-7,XUPYJHCZDLZNFP-UHFFFAOYSA-N,n-Butyl butyrate
Butyl propanoate,590-01-2,BTMVHUNTONAYDX-UHFFFAOYSA-N,N-BUTYL PROPIONATE
Cadalene,483-78-3,VMOJIHDTVZTGDO-UHFFFAOYSA-N,CADALENE
Cadinene<gamma->,39029-41-9,YGPSJZOEDVAXAB-QMMMGPOBSA-N,L-kynurenine
Cadinol<alpha->,481-34-5,LHYHMMRYTDARSZ-BYNSBNAKSA-N,alpha-Cadinol
Calacorene<alpha->,21391-99-1,NA,NA
Calamenene<cis->,72937-55-4,NA,NA
Camphor,464-48-2,DSSYKIVIOFKYAU-UHFFFAOYSA-N,camphor
Caprolactam,105-60-2,JBKVHLHDHHXQEQ-UHFFFAOYSA-N,CAPROLACTAM
Carene<delta-3->,13466-78-9,NA,NA
"Carvacrol, methyl ether",6379-73-3,YVLHTQPPMZOCOW-UHFFFAOYSA-N,Carvacryl methyl ether
Carvone,2244-16-8,ULDHMXUKGWMISQ-UHFFFAOYSA-N,CARVONE
Caryophyllene<E->,118-65-0,NPNUFJAVOOONJE-FLFDDASRSA-N,Caryophyllene
Cedr-8-ene,469-61-4,IRAQOCYXUMOFCW-UHFFFAOYSA-N,Cedrene
Cedrol,77-53-2,SVURIXNDRWRAFU-UHFFFAOYSA-N,Epicedrol
Coumarin,91-64-5,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,coumarin
Cresol<para->,106-44-5,IWDCLRJOBJJRNH-UHFFFAOYSA-N,P-CRESOL
Cumene,98-82-8,RWGFKTVRMDUZSP-UHFFFAOYSA-N,CUMENE
Cuminaldehyde,122-03-2,WTWBUQJHJGUZCY-UHFFFAOYSA-N,cuminaldehyde
Cyclohexanone,108-94-1,JHIVVAPYMSGYDF-UHFFFAOYSA-N,CYCLOHEXANONE
"Cyclopentanone, 2-methyl-",1120-72-5,ZIXLDMFVRPABBX-UHFFFAOYSA-N,2-METHYLCYCLOPENTANONE
Cymene<para->,527-84-4,WWRCMNKATXZARA-UHFFFAOYSA-N,O-CYMENE
Cymenene<para->,1195-32-0,MMSLOZQEMPDGPI-UHFFFAOYSA-N,Dehydro-p-cymene
Decanal,112-31-2,KSMVZQYAVGTKIV-UHFFFAOYSA-N,Decanal
"Decane, 2-methyl-",6975-98-0,CNPVJWYWYZMPDS-UHFFFAOYSA-N,2-METHYLDECANE
"Decane, 4-methyl-",2847-72-5,DVWZNKLWPILULD-UHFFFAOYSA-N,4-METHYLDECANE
Decanone<2->,693-54-9,ZAJNGDIORYACQU-UHFFFAOYSA-N,2-Decanone
Diethyltoluamide,134-62-3,MMOXZBCLCQITDF-UHFFFAOYSA-N,DEET
Dihydroactinidiolide,17092-92-1,IMKHDCBNRDRUEB-UHFFFAOYSA-N,DIHYDROACTINIDIOLIDE
Dimethyl trisulfide,3658-80-8,YWHLKYXPLRWGSE-UHFFFAOYSA-N,Dimethyl trisulfide
Dodecanal,112-54-9,HFJRKMMYBMWEAD-UHFFFAOYSA-N,DODECANAL
Dodecanol<N->,112-53-8,LQZZUXJYWNFBMV-UHFFFAOYSA-N,1-DODECANOL
Elemicin,487-11-6,BPLQKQKXWHCZSS-UHFFFAOYSA-N,Elemicin
"Ethanone, 1-(4-methylphenyl)-",122-00-9,GNKZMNRKLCTJAY-UHFFFAOYSA-N,p-Methylacetophenone
Ethyl hexyl acetate<2->,103-09-3,YLYBTZIQSIBWLI-UHFFFAOYSA-N,Octyl acetate
Eucalyptol,470-82-6,WEEGYLXZBRQIMU-UHFFFAOYSA-N,Eucalyptol
Eugenol,97-53-0,RRAFCDWBNXTKKO-UHFFFAOYSA-N,eugenol
Fenchol<endo->,14575-74-7,NA,NA
Fenchone,1195-79-5,LHXDLQBQYFFVNW-UHFFFAOYSA-N,Fenchone
Fluorene,86-73-7,NIHNNTQXNPWCJQ-UHFFFAOYSA-N,FLUORENE
"Formamide, N,N-diethyl-",617-84-5,SUAKHGWARZSWIH-UHFFFAOYSA-N,"N,N-DIETHYLFORMAMIDE"
gamm-Octanolactone,104-50-7,IPBFYZQJXZJBFQ-UHFFFAOYSA-N,GAMMA-OCTALACTONE
gamma-Decanolactone,706-14-9,IFYYFLINQYPWGJ-UHFFFAOYSA-N,gamma-Decalactone
gamma-Nonalactone,104-61-0,OALYTRUKMRCXNH-UHFFFAOYSA-N,Gamma-nonalactone
gamma-Undecalatone,104-67-6,PHXATPHONSXBIL-UHFFFAOYSA-N,Gamma-undecalactone
gamma-Valerolactone,108-29-2,WRHZVMBBRYBTKZ-UHFFFAOYSA-N,2-Pyrrolecarboxylic acid
Geranial,5392-40-5,WTEVQBCEXWBHNA-JXMROGBWSA-N,Citral
Geranic acid,459-80-3,ZHYZQXUYZJNEHD-VQHVLOKHSA-N,GERANIC ACID
Geraniol,106-24-1,NA,NA
Geranyl formate,105-86-2,NA,NA
Geranylacetone,3879-26-3,HNZUNIKWNYHEJJ-XFXZXTDPSA-N,Nerylacetone
Glycerin,56-81-5,PEDCQBHIVMGVHV-UHFFFAOYSA-N,glycerol
Heptalactone<gamma->,105-21-5,VLSVVMPLPMNWBH-UHFFFAOYSA-N,gamma-Heptalactone
"Heptane, 2,4-dimethyl-",2213-23-2,AUKVIBNBLXQNIZ-UHFFFAOYSA-N,"2,4-DIMETHYLHEPTANE"
"Heptane, 3-methylene-",1632-16-2,XTVRLCUJHGUXCP-UHFFFAOYSA-N,2-Ethylhexene
Heptanol<N->,111-70-6,BBMCTIGTTCKYKF-UHFFFAOYSA-N,n-Heptanol
Heptanone<2->,110-43-0,CATSNJVOTSVZJV-UHFFFAOYSA-N,2-HEPTANONE
Hexenol<2Z->,928-94-9,NA,NA
Hexenyl benzoate<2E->,76841-70-8,QFJRHTWDJOIOBT-UHFFFAOYSA-N,"2-Hexen-1-ol, benzoate, (2E)-"
Homomenthyl salicylate,52253-93-7,WSSJONWNBBTCMG-UHFFFAOYSA-N,Homomenthyl salicylate
Indene,95-13-6,YBYIRNPNPLQARY-UHFFFAOYSA-N,INDENE
Isoborneol,464-45-9,DTGKSKDOIYIVQL-UHFFFAOYSA-N,Borneol
Isoeugenol,5932-68-3,BJIOGJUNALELMI-ONEGZZNKSA-N,Isoeugenol
Isopentyl acetate,123-92-2,MLFHJEHSLIIPHL-UHFFFAOYSA-N,ISOAMYL ACETATE
Isopropyl hexadecanoate,142-91-6,XUGNVMKQXJXZCD-UHFFFAOYSA-N,ISOPROPYL PALMITATE
Isopropyl tetradecanoate,110-27-0,AXISYYRBXTVTFY-UHFFFAOYSA-N,ISOPROPYL MYRISTATE
Lavender Lactone,1073-11-6,QESPSAHXYXIGBG-UHFFFAOYSA-N,Lavender lactone
Limonene,138-86-3,NA,NA
Linalool acetate,115-95-7,UWKAYLJWKGQEPM-UHFFFAOYSA-N,Bergamol
Linalool oxide<trans->(pyranoid),41720-62-1,BCTBAGTXFYWYMW-UHFFFAOYSA-N,Linalool oxide pyranoside
Longifolene,475-20-7,PDSNLYSELAIEBU-UHFFFAOYSA-N,LONGIFOLENE
Maltol,118-71-8,XPCTZQVDEJYUGT-UHFFFAOYSA-N,MALTOL
Menthol,1490-04-6,NOOLISFMXDJSKH-KXUCPTDWSA-N,l-Menthol
Menthyl lactate,59259-38-0,UJNOLBSYLSYIBM-UHFFFAOYSA-N,MENTHYL LACTATE
Methenamine,100-97-0,VKYKSIONXSXAKP-UHFFFAOYSA-N,methenamine
Methyl anthranilate,134-20-3,VAMXMNNIEUEQDV-UHFFFAOYSA-N,METHYL ANTHRANILATE
Methyl benzoate,93-58-3,QPJVMBTYPHYUOC-UHFFFAOYSA-N,METHYL BENZOATE
Methyl jasmonate,1211-29-6,GEWDNTWNSAZUDX-WQMVXFAESA-N,Methyl jasmonate
Methyl pyruvate,600-22-6,CWKLZLBVOJRSOM-UHFFFAOYSA-N,METHYL PYRUVATE
Methyl salicylate,119-36-8,OSWPMRLSEDHDFF-UHFFFAOYSA-N,methyl salicylate
Murrolol<epi-alpha-> (=tau-muurolol),19912-62-0,LHYHMMRYTDARSZ-AJNGGQMLSA-N,epi-alpha-Muurolol
Naphthalene,91-20-3,UFWIBTONFRDIAS-UHFFFAOYSA-N,naphthalene
"Naphthalene, 1-methyl-",90-12-0,QPUYECUOLPXSFR-UHFFFAOYSA-N,1-METHYLNAPHTHALENE
"Naphthalene, 2-methyl-",91-57-6,QIMMUPPBPVKWKM-UHFFFAOYSA-N,2-METHYLNAPHTHALENE
"Naphthalene, 2,6-dimethyl-",581-42-0,YGYNBBAUIYTWBF-UHFFFAOYSA-N,"2,6-DIMETHYLNAPHTHALENE"
