No.,V,Compound,Group,Type,To IS,Ret.Time [min.],from [min.],...to [min.],Sum from [min.],Sum ...to [min.],SSV,QVal.,Peak ID,Comments,Search,Integrate,RI_exp,RT_exp,from,to,sumfrom,sumto
11,NA,"1,3-Cyclopentadiene",3-4 min,NA,NA,1.70616925557458,1.20616925557457,2.20616912841801,0.706169255574558,2.70616912841802,7,90,Best Q Value (1),"From NIST: C5H6, Mol.weight = 66; Contributor: ; Synonyms: Cyclopentadiene, Pentole, Pyropentylene, R-Pentine;",(Default),(Default),528,1.62800005086267,1.12800005086267,2.1280000508626697,0.62800005086267,2.6280000508626697
12,NA,2-Propen-1-ol,8-9 min,NA,NA,1.7225390116374,1.22253901163739,2.22253901163741,0.722539011637384,2.72253901163742,7,90,Best Q Value (1),"From NIST: C3H6O, Mol.weight = 58; Contributor: NIST Mass Spectrometry Data Center, 1990.; Synonyms: Allyl alcohol, Allylic alcohol, Shell Unkrauttod A, Vinylcarbinol, 1-Propen-3-ol, 2-Propenol, 2-Propenyl alcohol, 3-Hydroxypropene, CH2=CHCH2OH, Propenol, Propen-1-ol-3, Aaalcool allilco, Alcool allylique, Allilowy alkohol, Allyl al, Allylalkohol, Orvinylcarbinol, Propenyl alcohol, Weed drench, 1-Propenol-3, AA, Alcool allilco, 2-Propene-1-ol, Rcra waste number P005, Shell unkrautted A, UN 1098, 3-Hydroxy-1-propene, 1-Propenol-3-ol, Propene-1-ol, Propenol-3, 4-Quinolinecarboxylic acid, 2-phenyl-;",(Default),(Default),567,1.7645000508626698,1.2645000508626698,2.2645000508626696,0.7645000508626698,2.7645000508626696
13,NA,45,12-13min,NA,NA,1.74241650899255,1.24241650899254,2.24241638183598,0.742416508992528,2.74241638183599,7,90,Best Q Value (1),NA,(Default),(Default),560.6904166085372,1.7424165089925503,1.2424165089925503,2.2424165089925503,0.7424165089925503,2.7424165089925503
14,NA,1-Propanol,wax?,NA,NA,1.74241650899255,1.24241650899254,2.24241638183598,0.742416508992528,2.74241638183599,7,90,Best Q Value (1),"From NIST: C3H8O, Mol.weight = 60; Contributor: ; Synonyms: Propyl alcohol, n-Propan-1-ol, n-Propanol, n-Propyl alcohol, Ethylcarbinol, Optal, Osmosol extra, Propanol, Propylic alcohol, 1-Propyl alcohol, n-C3H7OH, 1-Hydroxypropane, Propanol-1, Propan-1-ol, n-Propyl alkohol, Alcool propilico, Alcool propylique, Propanole, Propanolen, Propanoli, Propylowy alkohol, UN 1274, Pro-gas (gas disclaimed), Propylan-propyl alcohol;",(Default),(Default),548,1.69800005086267,1.19800005086267,2.19800005086267,0.69800005086267,2.69800005086267
15,NA,Cyclopentene,2-3 min,NA,NA,1.74397544860843,1.24397544860842,2.24397532145187,0.743975448608413,2.74397532145188,7,90,Best Q Value (1),"From NIST: C5H8, Mol.weight = 68; Contributor: P.F.DIAMOND SHELL RESEARCH LIMITED THORNTON RESEARCH CENTRE; Synonyms: 1-Cyclopentene  #;",(Default),(Default),548,1.69800005086267,1.19800005086267,2.19800005086267,0.69800005086267,2.69800005086267
16,NA,"Propanal, 2-methyl-",3-4 min,NA,NA,1.7478730519613,1.24787305196129,2.2478729248047302,0.747873051961278,2.74787292480474,7,90,Best Q Value (1),"From NIST: C4H8O, Mol.weight = 72; Contributor: NIST Mass Spectrometry Data Center, 1998.; Synonyms: Isobutyraldehyde, ?-Methylpropionaldehyde, Isobutanal, Isopropylaldehyde, Isopropylformaldehyde, 2-Methylpropanal, 2-Methylpropionaldehyde, iso-C3H7CHO, Isobutylaldehyde, Isobutyric aldehyde, 2-Methyl-1-propanal, Isobutyraldehyd, Propionaldehyde, 2-methyl-, Valine aldehyde, Isobutaldehyde, Isobutyryl aldehyde, Methyl propanal, NCI-C60968, UN 2045, sO-Butyl aldehyde;",(Default),(Default),576,1.79600005086267,1.29600005086267,2.29600005086267,0.7960000508626699,2.79600005086267
17,NA,"Propane, 2-methoxy-2-methyl-",2-3 min,NA,NA,1.76073493957523,1.26073493957522,2.26073506673182,0.760734939575211,2.76073506673183,7,90,Best Q Value (1),"From NIST: C5H12O, Mol.weight = 88; Contributor: DOW CHEMICAL COMPANY / ASTM E14-UNCERTIFIED SPECTRUM, 133; Synonyms: Ether, tert-butyl methyl, tert-Butyl methyl ether, Methyl tert-butyl ether, 2-Methoxy-2-methylpropane, 2-Methyl-2-methoxypropane, tert-C4H9OCH3, Methyl t-butyl ether, MTBE, Methyl 1,1-dimethylethyl ether, UN 2398, Driveron;",(Default),(Default),620,1.95000005086267,1.45000005086267,2.45000005086267,0.95000005086267,2.95000005086267
18,NA,"Pentane, 2-methyl-",2-3 min,NA,NA,1.76073493957523,1.26073493957522,2.26073506673182,0.760734939575211,2.76073506673183,7,90,Best Q Value (1),"From NIST: C6H14, Mol.weight = 86; Contributor: ; Synonyms: Isohexane, 2-Methylpentane, (CH3)2CH(CH2)2CH3, Methyl pentane, UN 1208, UN 2462;",(Default),(Default),556,1.7260000508626698,1.2260000508626698,2.2260000508626696,0.7260000508626698,2.7260000508626696
19,NA,Methacrolein,4-5min,NA,NA,1.76969935099287,1.26969935099286,2.26969935099288,0.769699350992854,2.76969935099289,7,90,Best Q Value (1),"From NIST: C4H6O, Mol.weight = 70; Contributor: SHELL RESEARCH LIMITED THORNTON RESEARCH CENTRE; Synonyms: 2-Propenal, 2-methyl-, Methacrylaldehyde, ?-Methylacrolein, Isobutenal, Methacrylic aldehyde, Methylacrylaldehyde, 2-Methylacrolein, 2-Methylpropenal, CH2=C(CH3)CHO, 2-Methylenepropanal, 2-Methylprop-2-enal, ?-Methacrolein, Acrolein, 2-methyl-, Methacraldehyde, Methakrylaldehyd, UN 2396, 2-Methylacrylaldehyde  #;",(Default),(Default),599,1.8765000508626701,1.3765000508626701,2.37650005086267,0.8765000508626701,2.87650005086267
20,NA,"2,3-Dihydrofuran",3-4 min,NA,NA,1.79113591512048,1.29113591512047,2.29113591512049,0.791135915120459,2.7911359151205,7,90,Best Q Value (1),"From NIST: C4H6O, Mol.weight = 70; Contributor: Chuck Anderson, Aldrich Chemical Co.; Synonyms: 2,3-Dihydrofuran, 4,5-Dihydrofuran;",(Default),(Default),651,2.05850005086267,1.55850005086267,2.55850005086267,1.05850005086267,3.05850005086267
21,NA,"Pentane, 3-methyl-",2-3 min,NA,NA,1.79308458964034,1.29308458964033,2.29308471679692,0.793084589640315,2.79308471679693,7,90,Best Q Value (1),"From NIST: C6H14, Mol.weight = 86; Contributor: ; Synonyms: 3-Methylpentane, (C2H5)2CHCH3, UN 1208, UN 2462, 3-Methyl pentane;",(Default),(Default),582,1.81700005086267,1.31700005086267,2.31700005086267,0.81700005086267,2.81700005086267
22,NA,"2,3-Butanedione",5-6 min,NA,NA,1.80594660441084,1.30594660441083,2.30594660441085,0.805946604410823,2.80594660441086,7,90,Best Q Value (1),"From NIST: C4H6O2, Mol.weight = 86; Contributor: K.GRIESBAUM,DEP.PETROCHEM.ORG.TECHNOL.,UNIV.KARLSRUHE,W.GER.; Synonyms: Biacetyl, Butane-2,3-dione, Butanedione, Diacetyl, Dimethyl diketone, Dimethyl glyoxal, 2,3-Butadione, 2,3-Diketobutane, (CH3CO)2, Glyoxal, dimethyl-, Butadione, UN 2346, 2,3-Dioxobutane;",(Default),(Default),604,1.89400005086267,1.39400005086267,2.3940000508626698,0.89400005086267,2.8940000508626698
23,NA,"1-Pentene, 2-methyl-",2-3 min,NA,NA,1.80945434570316,1.30945434570315,2.30945434570317,0.809454345703141,2.80945434570318,7,90,Best Q Value (1),"From NIST: C6H12, Mol.weight = 84; Contributor: D.HENNEBERG, MAX-PLANCK INSTITUTE, MULHEIM, WEST GERMANY; Synonyms: 2-Methyl-1-pentene, 4-Methyl-4-pentene, C2H5CH2C(CH3)=CH2, 2-Methylpentene, 2-Methyl-pentene-1;",(Default),(Default),584,1.82400005086267,1.32400005086267,2.32400005086267,0.8240000508626699,2.82400005086267
24,NA,Butanal,3-4 min,NA,NA,1.81335194905603,1.31335194905602,2.31335194905604,0.813351949056006,2.81335194905605,7,90,Best Q Value (1),"From NIST: C4H8O, Mol.weight = 72; Contributor: NIST Mass Spectrometry Data Center, 1998.; Synonyms: Butyraldehyde, n-Butanal, n-Butyl aldehyde, n-Butyraldehyde, Butal, Butaldehyde, Butanaldehyde, Butyl aldehyde, Butyral, Butyric aldehyde, Butyrylaldehyde, n-C3H7CHO, Aldehyde butyrique, Aldeide butirrica, Butalyde, Butyraldehyd, NCI-C56291, UN 1129;",(Default),(Default),598,1.87300005086267,1.37300005086267,2.37300005086267,0.8730000508626701,2.87300005086267
25,NA,2-Butanone,4-5min,NA,NA,1.8293318430583,1.32933184305829,2.32933197021489,0.829331843058285,2.8293319702149,7,90,Best Q Value (1),"From NIST: C4H8O, Mol.weight = 72; Contributor: CARL DJERASSI DEPT OF CHEM STANFORD UNIV STANFORD CALIF 94305; Synonyms: Butan-2-one, Butanone, Ethyl methyl ketone, Ketone, methyl ethyl, Methyl ethyl ketone, MEK, C2H5COCH3, Acetone, methyl-, Aethylmethylketon, 3-Butanone, Butanone 2, Ethyl methyl cetone, Ethylmethylketon, Ketone, ethyl methyl, Meetco, Methyl acetone, Metiletilchetone, Metyloetyloketon, Rcra waste number U159, UN 1193, UN 1232, 2-Oxobutane, Meketone, Oxobutane;",(Default),(Default),610,1.91500005086267,1.41500005086267,2.4150000508626697,0.9150000508626699,2.9150000508626697
26,NA,Acetic acid,16-17min,NA,NA,1.83556798299157,1.33556798299156,2.33556798299158,0.835567982991553,2.83556798299159,7,90,Best Q Value (1),"From NIST: C2H4O2, Mol.weight = 60; Contributor: BIRMINGHAM UNIVERSITY, BIRMINGHAM, UK; Synonyms: Ethanoic acid, Ethylic acid, Glacial acetic acid, Methanecarboxylic acid, Vinegar acid, CH3COOH, component of Aci-Jel, Acetasol, Acide acetique, Acido acetico, Azijnzuur, Essigsaeure, Octowy kwas, Acetic acid, glacial, Kyselina octova, UN 2789, UN 2790, Aci-jel, Shotgun, TCLP extraction fluid 2, Vinegar;",(Default),(Default),676,2.14600005086267,1.64600005086267,2.64600005086267,1.14600005086267,3.14600005086267
27,NA,2-Butanol,6-7 min,NA,NA,1.83946545918786,1.33946545918785,2.3394653320313,0.839465459187842,2.83946533203131,7,90,Best Q Value (1),"From NIST: C4H10O, Mol.weight = 74; Contributor: W. UTILIZATION R & D DIV., U.S. DEPT. OF AGRIC., ALBANY, CAL.; Synonyms: sec-Butyl Alcohol, sec-Butanol, CCS 301, Ethyl Methyl carbinol, Methyl ethyl carbinol, 1-Methyl-1-propanol, 1-Methylpropyl alcohol, 2-Hydroxybutane, sec-C4H9OH, Butane, 2-hydroxy-, Butanol-2, Butan-2-ol, 2-Butyl alcohol, s-Butyl alcohol, Butylene hydrate, D-sec-Butanol, L-sec-Butanol, Alcool butylique secondaire, Butanol secondaire, S.B.A., s-Butanol, 1-Methyl propanol, UN 1120, n-Butan-2-ol;",(Default),(Default),652,2.06200005086267,1.56200005086267,2.56200005086267,1.06200005086267,3.06200005086267
28,NA,"Furan, 2-methyl-",3-4 min,NA,NA,1.85349667867028,1.35349667867027,2.35349680582687,0.853496678670264,2.85349680582688,7,90,Best Q Value (1),"From NIST: C5H6O, Mol.weight = 82; Contributor: Chemical Concepts; Synonyms: ?-Methylfuran, Silvan, Sylvan, 2-Methylfuran, 5-Methylfuran, Methylfuran, UN 2301;",(Default),(Default),620,1.95000005086267,1.45000005086267,2.45000005086267,0.95000005086267,2.95000005086267
29,NA,Methyl vinyl ketone,-,TRUE,NA,1.85973269144698,1.35973269144697,2.35973256429041,0.859732691446957,2.85973256429042,7,90,Best Q Value (1),NA,(Default),(Default),645,2.03750005086267,1.5375000508626702,2.53750005086267,1.0375000508626702,3.03750005086267
30,NA,Hexane<N->,2-3 min,NA,NA,1.88000005086267,1.38000005086266,2.38000005086268,0.880000050862648,2.88000005086269,7,90,Best Q Value (1),1.88,(Default),(Default),600,1.88000005086267,1.38000005086267,2.38000005086267,0.88000005086267,2.88000005086267
31,NA,"Furan, 3-methyl-",4-5min,NA,NA,1.88038978576664,1.38038978576663,2.38038991292322,0.880389785766619,2.88038991292323,7,90,Best Q Value (1),"From NIST: C5H6O, Mol.weight = 82; Contributor: Japan AIST/NIMC Database- Spectrum MS-NW-9299; Synonyms: 3-Methylfuran;",(Default),(Default),613,1.9255000508626698,1.4255000508626698,2.42550005086267,0.9255000508626698,2.92550005086267
32,NA,Ethyl acetate,4-5min,NA,NA,1.88584632873539,1.38584632873538,2.38584645589197,0.885846328735369,2.88584645589198,7,90,Best Q Value (1),1.80,(Default),(Default),621,1.95350005086267,1.45350005086267,2.45350005086267,0.9535000508626701,2.95350005086267
33,NA,"Propane, 2-ethoxy-2-methyl-",2-3 min,NA,NA,1.90338528951013,1.40338528951012,2.40338541666671,0.903385289510109,2.90338541666672,7,90,Best Q Value (1),"From NIST: C6H14O, Mol.weight = 102; Contributor: D.HENNEBERG, MAX-PLANCK INSTITUTE, MULHEIM, WEST GERMANY; Synonyms: Ether, tert-butyl ethyl, tert-Butyl Ethyl ether, Ethyl tert-butyl ether, Ethyl tert-butyl oxide, tert-C4H9OC2H5, t-Butyl ethyl ether, 2-Ethoxy-2-methylpropane;",(Default),(Default),625,1.9675000508626699,1.4675000508626699,2.46750005086267,0.9675000508626699,2.96750005086267
34,NA,"1-Propanol, 2-methyl-",7-8min,NA,NA,1.90416475931807,1.40416475931806,2.40416463216151,0.904164759318052,2.90416463216152,7,90,Best Q Value (1),Isobutyl alcohol,(Default),(Default),633,1.9955000508626701,1.4955000508626701,2.4955000508626703,0.9955000508626701,2.9955000508626703
35,NA,Isobutyronitrile,5-6 min,NA,NA,1.91468823750818,1.41468823750817,2.41468811035161,0.914688237508156,2.91468811035162,7,90,Best Q Value (1),"From NIST: C4H7N, Mol.weight = 69; Contributor: Chemical Concepts; Synonyms: Propanenitrile, 2-methyl-, Isopropyl cyanide, Isopropylnitrile, 1-Cyano-1-methylethane, 2-Cyanopropane, 2-Methylpropanenitrile, 2-Methylpropionitrile, iso-C3H7CN, Dimethylacetonitrile, Isopropylkyanid, UN 2284, ?-Methylpropanenitrile;",(Default),(Default),661,2.09350005086267,1.5935000508626702,2.59350005086267,1.0935000508626702,3.09350005086267
36,NA,"Cyclopentane, methyl-",2-3 min,NA,NA,1.92716039021814,1.42716039021813,2.42716039021815,0.927160390218117,2.92716039021816,7,90,Best Q Value (1),"From NIST: C6H12, Mol.weight = 84; Contributor: NIST Mass Spectrometry Data Center, 1990.; Synonyms: Methylcyclopentane, UN 2298;",(Default),(Default),624,1.96400005086267,1.46400005086267,2.46400005086267,0.96400005086267,2.96400005086267
37,NA,"1,3-Pentadiene, 2-methyl-, (E)-",3-4 min,NA,NA,1.95795097351078,1.45795097351077,2.45795084635422,0.957950973510761,2.95795084635423,7,90,Best Q Value (1),"From NIST: C6H10, Mol.weight = 82; Contributor: NIST Mass Spectrometry Data Center, 1990.; Synonyms: (E)-CH2=C(CH3)CH=CHCH3, trans-2-Methyl-1,3-pentadiene, (E)-1,3-Pentadiene, 2-methyl-, (3E)-2-Methyl-1,3-pentadiene  #;",(Default),(Default),627,1.9745000508626698,1.4745000508626698,2.4745000508626696,0.9745000508626698,2.9745000508626696
38,NA,Amylene Hydrate,5-6 min,NA,NA,1.96184857686365,1.46184857686364,2.46184844970708,0.961848576863626,2.96184844970709,7,90,Best Q Value (1),"From NIST: C5H12O, Mol.weight = 88; Contributor: ; Synonyms: 2-Butanol, 2-methyl-, tert-Pentyl Alcohol, tert-Amyl Alcohol, tert-Pentanol, Dimethyl ethyl carbinol, Ethyl dimethyl carbinol, 1,1-Dimethyl-1-propanol, 2-Methyl-2-butanol, C2H5C(CH3)2OH, 2-Methyl butanol-2, 3-Methylbutan-3-ol, t-Amyl alcohol, 2-Methylbutan-2-ol, tert-Isoamyl alcohol, 3-Methyl-butanol-(3), UN 1105;",(Default),(Default),640,2.02000005086267,1.52000005086267,2.52000005086267,1.02000005086267,3.02000005086267
39,NA,"2,4-Hexadiene, (Z,Z)-",3-4 min,NA,NA,1.97276166280115,1.47276166280114,2.47276153564458,0.972761662801126,2.97276153564459,7,90,Best Q Value (1),"From NIST: C6H10, Mol.weight = 82; Contributor: NIST Mass Spectrometry Data Center, 1990.; Synonyms: 2,4-Hexadiene, (Z,Z)-, cis,cis-2,4-Hexadiene, (Z),(Z)-2,4-Hexadiene, (2Z,4Z)-2,4-Hexadiene  #;",(Default),(Default),661,2.09350005086267,1.5935000508626702,2.59350005086267,1.0935000508626702,3.09350005086267
40,NA,4,3-4 min,NA,NA,1.9910802205404,1.49108022054039,2.49108022054041,0.991080220540384,2.99108022054042,7,90,Best Q Value (1),"1,3-Cyclohexadiene",(Default),(Default),631.7371913364942,1.9910802205404,1.4910802205404,2.4910802205404,0.9910802205403999,2.9910802205404
41,NA,"Cyclopentene, 3-methyl-",3-4 min,NA,NA,2.01992200215662,1.51992200215661,2.51992187500005,1.0199220021566,3.01992187500006,7,90,Best Q Value (1),"From NIST: C6H10, Mol.weight = 82; Contributor: NIST Mass Spectrometry Data Center, 1990.; Synonyms: 3-Methylcyclopentene, 3-Methyl-1-cyclopentene  #;",(Default),(Default),656,2.0760000508626697,1.5760000508626697,2.5760000508626697,1.0760000508626697,3.0760000508626697
42,NA,"Butanal, 3-methyl-",4-5min,NA,NA,2.02187080383305,1.52187080383304,2.52187093098963,1.02187080383303,3.02187093098964,7,90,Best Q Value (1),"From NIST: C5H10O, Mol.weight = 86; Contributor: Chemical Concepts; Synonyms: Isovaleraldehyde, ?-Methylbutanal, Isopentanal, Isovaleral, Isovaleric aldehyde, Isovalerylaldehyde, 3-Methylbutan-1-al, 3-Methylbutanal, 3-Methylbutyraldehyde, iso-C4H9CHO, Butyraldehyde, 3-methyl-, Isoamylaldehyde, Isopentaldehyde, 1-Butanal, 3-methyl-, 2-Methylbutanal-4, 3-Methyl-1-butanal;",(Default),(Default),653,2.06550005086267,1.5655000508626702,2.56550005086267,1.0655000508626702,3.06550005086267
43,NA,15,6-7min,NA,NA,2.02342987060551,1.5234298706055,2.52342987060552,1.02342987060549,3.02342987060553,7,90,Best Q Value (1),NA,(Default),(Default),640.9799484979543,2.02342987060551,1.52342987060551,2.52342987060551,1.02342987060551,3.02342987060551
44,NA,"2-Propanone, 1-hydroxy-",12-13min,NA,NA,2.03278401692712,1.53278401692711,2.53278401692713,1.0327840169271,3.03278401692714,7,90,Best Q Value (1),"From NIST: C3H6O2, Mol.weight = 74; Contributor: Chemical Concepts; Synonyms: Acetol, CH3C(O)CH2OH, Hydroxyacetone, Acetone alcohol, Acetylcarbinol, Hydroxypropanone, Methanol, acetyl-, 1-Hydroxy-2-propanone, 1-Hydroxyacetone  #;",(Default),(Default),709,2.4411490605672643,1.9411490605672643,2.9411490605672643,1.4411490605672643,3.4411490605672643
45,NA,25,9-10min,NA,NA,2.03278401692712,1.53278401692711,2.53278401692713,1.0327840169271,3.03278401692714,7,90,Best Q Value (1),NA,(Default),(Default),643.6525617327,2.03278401692712,1.53278401692712,2.53278401692712,1.03278401692712,3.03278401692712
46,NA,Benzene,41-44min,NA,NA,2.03278401692712,1.53278401692711,2.53278401692713,1.0327840169271,3.03278401692714,7,90,Best Q Value (1),"From NIST: C6H6, Mol.weight = 78; Contributor: Japan AIST/NIMC Database- Spectrum MS-NW- 75; Synonyms: [6]Annulene, Benzol, Benzole, Coal naphtha, Cyclohexatriene, Phenyl hydride, Pyrobenzol, Pyrobenzole, Benzolene, Bicarburet of hydrogen, Carbon oil, Mineral naphtha, Motor benzol, Benzeen, Benzen, Benzin, Benzine, Benzolo, Fenzen, Nitration benzene, NCI-C55276, Phene, Rcra waste number U019, UN 1114, Annulene;",(Default),(Default),662,2.09700005086267,1.59700005086267,2.59700005086267,1.09700005086267,3.09700005086267
47,NA,1-Butanol,8-9 min,NA,NA,2.05616925557459,1.55616925557458,2.55616912841802,1.05616925557457,3.05616912841803,7,90,Best Q Value (1),"From NIST: C4H10O, Mol.weight = 74; Contributor: Chemical Concepts; Synonyms: Butyl alcohol, n-Butan-1-ol, n-Butanol, n-Butyl alcohol, Butyl hydroxide, CCS 203, Hemostyp, Methylolpropane, Propylcarbinol, n-C4H9OH, Butanol, Butan-1-ol, 1-Hydroxybutane, n-Butanolbutanolen, Alcool butylique, Butanolo, Butylowy alkohol, Butyric alcohol, Propylmethanol, Butanolen, 1-Butyl alcohol, NA 1120, Rcra waste number U031, UN 1120, NBA, Tebol 88, 99;",(Default),(Default),663,2.10050005086267,1.6005000508626699,2.60050005086267,1.1005000508626699,3.10050005086267
48,NA,"Butanal, 2-methyl-",4-5min,NA,NA,2.06162579854334,1.56162579854333,2.56162567138677,1.06162579854332,3.06162567138678,7,90,Best Q Value (1),"From NIST: C5H10O, Mol.weight = 86; Contributor: NIST Mass Spectrometry Data Center, 1990.; Synonyms: Butyraldehyde, 2-methyl-, ?-Methylbutanal, ?-Methylbutyraldehyde, ?-Methylbutyric aldehyde, Methylethylacetaldehyde, 2-Formylbutane, 2-Methylbutanal, 2-Methylbutyraldehyde, 2-Methylbutyric aldehyde, sec-C4H9CHO, Acetaldehyde, ethylmethyl-, 2-Methyl-1-butanal;",(Default),(Default),663,2.10050005086267,1.6005000508626699,2.60050005086267,1.1005000508626699,3.10050005086267
